a.name,e.latitude,e.longitude,e.city,e.type,e.startdate,e.venue
Carl Ludwig Noah Bantzer,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Wilhelm Claudius,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Gotthardt Kuehl,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Robert Hermann Sterl,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Kurt Tuch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Egon Adler,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Vladimir Georgievich Bekhteev,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Heinrich Ehmsen,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Carl Mense,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Paul Adolf Seehaus,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Richard Seewald,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Hans Thuar,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Otto Fischer,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Walter Waentig,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Albert Weisgerber,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Ernst Ascher,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Ernst Burmester,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Hans Dornbach,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
Ferdinand Dorsch,51.05,13.75,Dresden,group,1906,Ausstellungsgebäude auf der Brühlesche Terrasse
Josef Eberz,51.05,13.75,Dresden,group,1914,Galerie Ernst Arnold
