name,birth_year,death_year,gender,nationality,placeofbirth,placeofdeath
Ker-Xavier Roussel,1867,1944,M,FR,Lorry-lès-Metz,L'Étang-la-Ville
Morgan Russell,1886,1953,M,US,New York,Broomall
Luigi Russolo,1885,1947,M,IT,Venice,Venice
Nikolay Ryabushinsky,1876,1951,M,RU,Moscow,Nice
Albert Pinkham Ryder,1847,1917,M,US,New Bedford,Elmhurst
Gösta Sandels,1887,1919,M,SE,Gothenburg,Granada
Nikolay Sapunov,1880,1912,M,RU,Moscow,Zelenogorsk
Martiros Sarian,1880,1972,M,AM,Nakhichevan,Yerevan
Morton Livingston Schamberg,1881,1918,M,US,Philadelphia,Philadelphia
Linka Procházková,1884,1960,F,CZ,Nové Dvory,Brno
Lodewijk Schelfhout,1881,1943,M,NL,"Hague, The",Amstelveen
Egon Schiele,1890,1918,M,AT,Tulln,Vienna
Karl Schmidt-Rottluff,1884,1976,M,DE,Rottluff,Berlin
Arnold Schoenberg,1874,1951,M,AT,Vienna,Los Angeles
Emile Schuffenecker,1851,1934,M,FR,Fresne-Saint-Mamès,Paris
Arthur Segal,1875,1944,M,RO,Iași,London
Armand Séguin,1869,1903,M,FR,Paris,Châteauneuf-du-Faou
Paul Sérusier,1864,1927,M,FR,Paris,Morlaix
Albert Servaes,1883,1966,M,BE,Ghent,Luzern
Gino Severini,1883,1966,M,IT,Cortona,Paris
René Seyssaud,1867,1952,M,FR,Marseilles,Saint-Chamas
Charles Sheeler,1883,1965,M,US,Philadelphia,Dobbs Ferry
Aleksandr Shevchenko,1883,1948,M,RU,Kharkov,Moscow
Iosif Solomonovič Škol'nik,1883,1926,M,UA,"Balta, Odessa Oblast",Saint Petersburg
Léopold Survage,1879,1968,M,RU,Moscow,Paris
Walter Richard Sickert,1860,1942,M,GB,Munich,Bathampton
Paul Signac,1863,1935,M,FR,Paris,Paris
Ladislav Šíma,1885,1956,M,CZ,Prague,Benešov
Max Slevogt,1868,1932,M,DE,Landshut,Leinsweiler
John Sloan,1871,1951,M,US,Lock Haven,"Hanover, New Hampshire"
Johannes Carolus Bernardus Sluijters,1881,1957,M,NL,s Hertogenbosch,Amsterdam
Ardengo Soffici,1879,1964,M,IT,Rignano sull'Arno,Forte dei Marmi
Konstantin Somov,1869,1939,M,RU,Saint Petersburg,Paris
Henrik Sørensen,1882,1962,M,NO,Fryksände,Christiania (Oslo)
Václav Špála,1885,1946,M,CZ,Žlunice,Prague
Stanley Spencer,1891,1959,M,GB,Cookham,Cliveden
Léon Spilliaert,1881,1946,M,BE,Ostend,Brussels
Jacob Steinhardt,1887,1968,M,IL,Zerków,Nahariyya
Joseph Stella,1877,1946,M,US,Muro Lucano,New York
John Sten,1879,1922,M,SE,Njutångers socken,Bali
Maurice Sterne,1877,1957,M,US,Liepāja,Mount Kisco
Sergey Sudyekin,1882,1946,M,RU,Smolensk,Nyack
Georg Tappert,1880,1957,M,DE,Berlin,Berlin
Johan Thorn Prikker,1868,1932,M,NL,"Hague, The",Cologne
Lajos Tihanyi,1885,1938,M,HU,Budapest,Paris
Charley Toorop,1891,1955,F,NL,Katwijk aan Zee,"Bergen, North Holland"
Oluf Wold-Torne,1867,1919,M,NO,Son,Christiania (Oslo)
Henri de Toulouse-Lautrec,1864,1901,M,FR,Albi,Langon
Albert Trachsel,1863,1929,M,CH,Nidau,Geneva
John Henry Twachtman,1853,1902,M,US,Cincinnati,Gloucester
Edgard Tytgat,1879,1957,M,BE,Brussels,Brussels
Nikolay Pavlovic Ul'yanov,1875,1949,M,RU,Yelets,Moscow
Petr Savvič Utkin,1877,1934,M,RU,Tambov,Saint Petersburg
Maurice Utrillo,1883,1955,M,FR,Paris,Dax
Félix Vallotton,1865,1925,M,CH,Lausanne,Paris
Louis Valtat,1869,1952,M,FR,Dieppe,Paris
Henry van de Velde,1863,1957,M,BE,Antwerp,Zurich
Gustave van de Woestijne,1881,1947,M,BE,Ghent,Brussels
Kees van Dongen,1877,1968,M,NL,Rotterdam,Monte Carlo
Jacoba van Heemskerck van Beest,1876,1923,F,NL,"Hague, The",Domburg
Otto van Rees,1884,1957,M,NL,Freiburg im Breisgau,Utrecht
Théo van Rysselberghe,1862,1926,M,BE,Ghent,"Saint-Clair, Var"
Jacques Villon,1875,1963,M,FR,Damville,Puteaux
Albert Paris von Gütersloh,1887,1973,M,AT,Vienna,Baden bei Wien
Ludwig von Hofmann,1861,1945,M,DE,Darmstadt,Pillnitz
Franz von Stuck,1863,1928,M,DE,Tettenweis,Munich
Fritz von Uhde,1848,1911,M,DE,Limbach-Oberfrohna,Munich
Marianne Werefkin,1860,1938,F,RU,Tula,Ascona
Mikhail Vrubel',1856,1910,M,RU,Omsk,Saint Petersburg
Edouard Vuillard,1868,1940,M,FR,Cuiseaux,"Baule, la"
Edward Wadsworth,1889,1949,M,GB,Cleckheaton,London
